,borocode,zip,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
167,4.0,11358,POINT (-73.78430296366649 40.75754567961285),-73.78430296366649,40.757545679612846,44,4104,104978.089545,260047824.698
168,4.0,11373,POINT (-73.87797365739723 40.73830324053647),-73.87797365739723,40.738303240536474,47,4107,100417.206182,107515663.696
169,4.0,11691,POINT (-73.75247942402618 40.60431350914963),-73.75247942402618,40.60431350914963,54,4114,402487.073726,310522670.444
170,4.0,11355,POINT (-73.82888468513289 40.75777406826378),-73.82888468513289,40.75777406826378,43,4103,149451.567392,329873810.656
171,4.0,11375,POINT (-73.84301499681045 40.72214695316669),-73.84301499681045,40.722146953166686,48,4108,37999.6381715,77765102.8446
172,4.0,11365,POINT (-73.78228143761608 40.74158266352509),-73.78228143761608,40.74158266352509,46,4106,79842.9340986,207308619.71
173,4.0,11004,POINT (-73.71484580101803 40.7451721981331),-73.71484580101803,40.745172198133105,45,4105,206027.45579,550135981.616
174,4.0,11385,POINT (-73.87574434777649 40.702585245599),-73.87574434777649,40.702585245598996,50,4110,71251.3267965,205047603.928
175,4.0,11366,POINT (-73.78191929899681 40.72925482196691),-73.78191929899681,40.72925482196691,46,4106,79842.9340986,207308619.71
176,4.0,11423,POINT (-73.76232032699329 40.72016653691723),-73.76232032699329,40.720166536917226,46,4106,79842.9340986,207308619.71
177,4.0,11414,POINT (-73.84180221655218 40.66381025649444),-73.84180221655218,40.66381025649444,53,4113,111168.400005,172024816.056
178,4.0,11372,POINT (-73.88506932468307 40.75019608559315),-73.88506932468307,40.75019608559315,42,4102,64416.9369837,117155733.277
179,4.0,11367,POINT (-73.82226966032037 40.72693697185495),-73.82226966032037,40.72693697185495,46,4106,79842.9340986,207308619.71
180,4.0,11368,POINT (-73.86819939085701 40.75757730185452),-73.86819939085701,40.757577301854525,42,4102,64416.9369837,117155733.277
181,4.0,11413,POINT (-73.74567356126445 40.67695272804687),-73.74567356126445,40.67695272804687,45,4105,206027.45579,550135981.616
182,4.0,11419,POINT (-73.82482969850855 40.68690728824833),-73.82482969850855,40.68690728824833,53,4113,111168.400005,172024816.056
183,4.0,11368,POINT (-73.86165592933878 40.7374341379485),-73.86165592933878,40.737434137948505,47,4107,100417.206182,107515663.696
